day,dose_mg_day,suppression_pct
11.0,2.946835443037974,47.46477880973829
12.0,2.946835443037974,47.59953906556452
13.0,2.946835443037974,47.71101090492043
14.0,2.946835443037974,47.80413313195553
15.0,2.946835443037974,47.88256961911701
16.0,2.946835443037974,47.949095940414786
17.0,2.946835443037974,48.00585314355365
18.0,2.946835443037974,48.05451905489002
19.0,2.946835443037974,48.09642679073086
20.0,2.946835443037974,48.132648543643995
21.0,2.946835443037974,48.164055975037925
22.0,2.946835443037974,48.164055975037925
23.0,2.946835443037974,48.164055975037925
24.0,2.946835443037974,48.164055975037925
25.0,2.946835443037974,48.164055975037925
26.0,2.946835443037974,48.164055975037925
27.0,2.946835443037974,48.164055975037925
28.0,2.946835443037974,48.164055975037925
29.0,2.946835443037974,48.164055975037925
30.0,2.946835443037974,48.164055975037925
31.0,2.946835443037974,48.164055975037925
32.0,2.946835443037974,48.164055975037925
33.0,2.946835443037974,48.164055975037925
34.0,2.946835443037974,48.164055975037925
35.0,2.946835443037974,48.164055975037925
36.0,2.946835443037974,48.164055975037925
37.0,2.946835443037974,48.164055975037925
38.0,2.946835443037974,48.164055975037925
39.0,2.946835443037974,48.164055975037925
40.0,2.946835443037974,48.164055975037925
41.0,2.946835443037974,48.164055975037925
42.0,2.946835443037974,48.164055975037925
43.0,2.946835443037974,48.164055975037925
44.0,2.946835443037974,48.164055975037925
45.0,2.946835443037974,48.164055975037925
46.0,2.946835443037974,48.164055975037925
47.0,2.946835443037974,48.164055975037925
48.0,2.946835443037974,48.164055975037925
49.0,2.946835443037974,48.164055975037925
50.0,2.946835443037974,48.164055975037925
51.0,2.946835443037974,48.164055975037925
52.0,2.946835443037974,48.164055975037925
53.0,2.946835443037974,48.164055975037925
54.0,2.946835443037974,48.164055975037925
55.0,2.946835443037974,48.164055975037925
56.0,2.946835443037974,48.164055975037925
0.0,3.0727848101265813,0.0
1.0,3.0727848101265813,34.57052589459869
2.0,3.0727848101265813,40.77546066830461
3.0,3.0727848101265813,43.357052718324354
4.0,3.0727848101265813,44.763967760609916
5.0,3.0727848101265813,45.64419044635047
6.0,3.0727848101265813,46.24321053540709
7.0,3.0727848101265813,46.67453973705058
8.0,3.0727848101265813,46.997902882742785
9.0,3.0727848101265813,47.247727754602415
10.0,3.0727848101265813,47.445260340682914
11.0,3.0727848101265813,47.60432551488221
12.0,3.0727848101265813,47.734309070473216
13.0,3.0727848101265813,47.84180840288089
14.0,3.0727848101265813,47.93159727463849
15.0,3.0727848101265813,48.007215659434934
16.0,3.0727848101265813,48.07134431868271
17.0,3.0727848101265813,48.12605052491657
18.0,3.0727848101265813,48.17295385415476
19.0,3.0727848101265813,48.2133408351875
20.0,3.0727848101265813,48.248245975179906
21.0,3.0727848101265813,48.278510142820274
22.0,3.0727848101265813,48.278510142820274
23.0,3.0727848101265813,48.278510142820274
24.0,3.0727848101265813,48.278510142820274
25.0,3.0727848101265813,48.278510142820274
26.0,3.0727848101265813,48.278510142820274
27.0,3.0727848101265813,48.278510142820274
28.0,3.0727848101265813,48.278510142820274
29.0,3.0727848101265813,48.278510142820274
30.0,3.0727848101265813,48.278510142820274
31.0,3.0727848101265813,48.278510142820274
32.0,3.0727848101265813,48.278510142820274
33.0,3.0727848101265813,48.278510142820274
34.0,3.0727848101265813,48.278510142820274
35.0,3.0727848101265813,48.278510142820274
36.0,3.0727848101265813,48.278510142820274
37.0,3.0727848101265813,48.278510142820274
38.0,3.0727848101265813,48.278510142820274
39.0,3.0727848101265813,48.278510142820274
40.0,3.0727848101265813,48.278510142820274
41.0,3.0727848101265813,48.278510142820274
42.0,3.0727848101265813,48.278510142820274
43.0,3.0727848101265813,48.278510142820274
44.0,3.0727848101265813,48.278510142820274
45.0,3.0727848101265813,48.278510142820274
46.0,3.0727848101265813,48.278510142820274
47.0,3.0727848101265813,48.278510142820274
48.0,3.0727848101265813,48.278510142820274
49.0,3.0727848101265813,48.278510142820274
50.0,3.0727848101265813,48.278510142820274
51.0,3.0727848101265813,48.278510142820274
52.0,3.0727848101265813,48.278510142820274
53.0,3.0727848101265813,48.278510142820274
54.0,3.0727848101265813,48.278510142820274
55.0,3.0727848101265813,48.278510142820274
56.0,3.0727848101265813,48.278510142820274
0.0,3.198734177215189,0.0
1.0,3.198734177215189,35.016903968941314
2.0,3.198734177215189,41.102980594184544
3.0,3.198734177215189,43.6178814377186
4.0,3.198734177215189,44.984219933025535
5.0,3.198734177215189,45.83754402014592
6.0,3.198734177215189,46.417594603955926
7.0,3.198734177215189,46.83493205736152
8.0,3.198734177215189,47.147623282090855
9.0,3.198734177215189,47.38909623575419
10.0,3.198734177215189,47.579959117079476
11.0,3.198734177215189,47.73361111332115
12.0,3.198734177215189,47.85914314615063
13.0,3.198734177215189,47.96294193076056
14.0,3.198734177215189,48.049626711268836
15.0,3.198734177215189,48.12262156953826
16.0,3.198734177215189,48.18451865134
17.0,3.198734177215189,48.237316322618625
18.0,3.198734177215189,48.28257978502497
19.0,3.198734177215189,48.32155210201876
20.0,3.198734177215189,48.35523263673468
21.0,3.198734177215189,48.3844335530479
22.0,3.198734177215189,48.3844335530479
23.0,3.198734177215189,48.3844335530479
24.0,3.198734177215189,48.3844335530479
25.0,3.198734177215189,48.3844335530479
26.0,3.198734177215189,48.3844335530479
27.0,3.198734177215189,48.3844335530479
28.0,3.198734177215189,48.3844335530479
29.0,3.198734177215189,48.3844335530479
30.0,3.198734177215189,48.3844335530479
31.0,3.198734177215189,48.3844335530479
32.0,3.198734177215189,48.3844335530479
33.0,3.198734177215189,48.3844335530479
34.0,3.198734177215189,48.3844335530479
35.0,3.198734177215189,48.3844335530479
36.0,3.198734177215189,48.3844335530479
37.0,3.198734177215189,48.3844335530479
38.0,3.198734177215189,48.3844335530479
39.0,3.198734177215189,48.3844335530479
40.0,3.198734177215189,48.3844335530479
41.0,3.198734177215189,48.3844335530479
42.0,3.198734177215189,48.3844335530479
43.0,3.198734177215189,48.3844335530479
44.0,3.198734177215189,48.3844335530479
45.0,3.198734177215189,48.3844335530479
46.0,3.198734177215189,48.3844335530479
47.0,3.198734177215189,48.3844335530479
48.0,3.198734177215189,48.3844335530479
49.0,3.198734177215189,48.3844335530479
50.0,3.198734177215189,48.3844335530479
51.0,3.198734177215189,48.3844335530479
52.0,3.198734177215189,48.3844335530479
53.0,3.198734177215189,48.3844335530479
