Scenario,Dose_mg_per_day,Day,n_mc,suppression_pct_p01,suppression_pct_p05,suppression_pct_p25,suppression_pct_p50,suppression_pct_p75,suppression_pct_p95,suppression_pct_p99
36h_half_life (r=0.63),0.3,9,15000,14.395482905668224,14.96864689801073,16.119160142249314,17.147385807103483,18.393022328345253,20.629925255308624,22.34481092090631
36h_half_life (r=0.63),0.3,10,15000,15.912861129923417,16.489518132367543,17.638013878275608,18.65408025664994,19.87147172325593,22.01789388330837,23.624647224742375
36h_half_life (r=0.63),0.3,11,15000,17.386572558138813,17.955170292285686,19.078806838026235,20.062886981803707,21.229090774604764,23.24826458312705,24.724544861051204
36h_half_life (r=0.63),0.3,12,15000,18.817043574261998,19.366740012476775,20.444607076589584,21.37915538603685,22.47466651604873,24.337715795407465,25.66850724840612
36h_half_life (r=0.63),0.3,13,15000,20.205024175150456,20.72568057159189,21.73872858851436,22.60833337633401,23.61676703363863,25.301630130672013,26.47783642830046
36h_half_life (r=0.63),0.3,14,15000,21.551451404449985,22.033614353250652,22.964563965880586,23.75578839063796,24.663563557442945,26.15399947606762,27.17123163728379
36h_half_life (r=0.63),0.3,15,15000,22.857365166635024,23.292242483383628,24.12548467444816,24.82670603739254,25.622742270977497,26.90743497559381,27.764985103098745
36h_half_life (r=0.63),0.3,16,15000,24.12385617143149,24.50328952119122,25.224782635905726,25.82603576020408,26.501469370304772,27.573233342753287,28.273217832165646
36h_half_life (r=0.63),0.3,17,15000,25.35203377168787,25.668469831393022,26.265637209825922,26.758465055287388,27.306387439026555,28.16147102393396,28.70812355581866
36h_half_life (r=0.63),0.3,18,15000,26.54300618926599,26.78946743511746,27.251097822694916,27.62841093899177,28.043629808312097,28.681109537977743,29.080203697033944
36h_half_life (r=0.63),0.3,19,15000,27.697868480931685,27.867924259882297,28.184076211260596,28.440021697627945,28.718844768215547,29.14010237955285,29.398484783003095
36h_half_life (r=0.63),0.3,20,15000,28.817695347940248,28.905433624128698,29.067344529035466,29.19718460997969,29.337224677129964,29.54549812928288,29.670714695443205
36h_half_life (r=0.63),0.3,21,15000,29.90353697749193,29.903536977491942,29.90353697749195,29.90353697749196,29.903536977491974,29.903536977491978,29.903536977491996
36h_half_life (r=0.63),1.0,0,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36h_half_life (r=0.63),1.0,1,15000,2.328649460078102,2.492332347733235,2.8422182710680866,3.181424534724047,3.630706575635924,4.568384566405792,5.441313397874256
36h_half_life (r=0.63),1.0,2,15000,4.922951722683357,5.24995917915926,5.943419716583824,6.608776709977262,7.479948528357355,9.262493367577425,10.879858939636616
36h_half_life (r=0.63),1.0,3,15000,7.5637443483079005,8.036865129609774,9.03214258662102,9.977143132731275,11.200184714872606,13.65349643243804,15.822776768918931
36h_half_life (r=0.63),1.0,4,15000,10.184774704298942,10.782538978513433,12.02991141417593,13.201898552554315,14.701188801925857,17.649630056562202,20.190400178164623
36h_half_life (r=0.63),1.0,5,15000,12.758965246099981,13.458924566914979,14.907794896507756,16.254872691874777,17.95827944068369,21.242767454353142,24.00144898564669
36h_half_life (r=0.63),1.0,6,15000,15.273861684603531,16.053803025765777,17.655249255296294,19.128641828576235,20.97037256871088,24.45280698068416,27.304177772174455
36h_half_life (r=0.63),1.0,7,15000,17.723653383154776,18.562125693418885,20.26994022789196,21.824840614418836,23.746244175346916,27.30961189623202,30.154486498293274
36h_half_life (r=0.63),1.0,8,15000,20.10591505034468,20.98247021876795,22.753574613120367,24.349377938152095,26.29893390608887,29.845848801320653,32.60767007511141
36h_half_life (r=0.63),1.0,9,15000,22.420067554036358,23.315365402908554,25.10993160500799,26.710187526826363,28.643146292862767,32.09384193970169,34.71514972171633
36h_half_life (r=0.63),1.0,10,15000,24.666576612330555,25.562419418902692,27.34384267227218,28.916073823508363,30.79394853093607,34.084151201983126,36.523293096870816
36h_half_life (r=0.63),1.0,11,15000,26.84650763855484,27.72583630644071,29.460630839617657,30.97608869673161,32.76609533368816,35.844967369524184,38.073180817111194
36h_half_life (r=0.63),1.0,12,15000,28.96126768523502,29.808136623268982,31.465791733726462,32.89918714958357,34.57368131080804,37.401918603857844,39.40081242077548
36h_half_life (r=0.63),1.0,13,15000,31.01245176306404,31.811992037089244,33.3648094677419,34.694038038590236,36.22997315355887,38.77808895293278,40.53750805420896
36h_half_life (r=0.63),1.0,14,15000,33.0017498517485,33.740126166551505,35.163050725105734,36.36892404401954,37.74734331058161,39.994144603521406,41.510382841877906
36h_half_life (r=0.63),1.0,15,15000,34.93089019760127,35.595255005664804,36.86570533456243,37.93169407413049,39.13726142536778,41.068511018702104,42.34283068415931
36h_half_life (r=0.63),1.0,16,15000,36.8016047042358,37.3800514153836,38.47775487806328,39.389746696578385,40.410318256689806,42.017569327075606,43.054985525212714
36h_half_life (r=0.63),1.0,17,15000,38.61560793031652,39.09712440326757,40.003958297929415,40.75003183649194,41.57626716014128,42.85585438085422,43.66414509546944
36h_half_life (r=0.63),1.0,18,15000,40.37458452618888,40.749007540021246,41.4488477931012,42.01906301839778,42.64407423746339,43.59624495937082,44.18515145759306
36h_half_life (r=0.63),1.0,19,15000,42.08018192362157,42.33815303026407,42.816730880199806,43.202935441698635,43.621971855827276,44.25014128933257,44.63072777235172
36h_half_life (r=0.63),1.0,20,15000,43.734006299606314,43.86692927522275,44.11169606982959,44.30734701214367,44.51751241622449,44.827627795299925,45.01177337906144
36h_half_life (r=0.63),1.0,21,15000,45.3376205787781,45.337620578778115,45.33762057877812,45.337620578778136,45.33762057877815,45.33762057877815,45.337620578778164
